Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/pages/Hee-Chang-Choidc/441316962604131,"Hee Chang Choi,dc",,,Chiropractor,,"408 S Beach Blvd Ste 208, Anaheim, California",+1 714-220-0980,
https://www.facebook.com/pages/Morecraft-Gregory-DC/153932151311817,Morecraft Gregory DC,,,Chiropractor,,"6326 E Santa Ana Canyon Rd, Anaheim, California",+1 714-637-6750,
https://www.facebook.com/pages/Anaheim-American-Chiropractic/131332430534940,Anaheim American Chiropractic,,,Chiropractor,,"9057  Cerritos Ave, Stanton, California",+1 714-527-2100,
https://www.facebook.com/pages/Dr-Paul-Rodrigues/846562008754615,Dr Paul Rodrigues,,,Chiropractor,,"3000 E Anaheim St, Long Beach, California",+1 562-439-4555,
https://www.facebook.com/pages/Leach-William-DC/164666023560182,Leach William DC,,,Chiropractor,,"600 S Harbor Blvd, Anaheim, California",+1 714-774-8555,
https://www.facebook.com/pages/Woo-Jin-Kim/950130358355842,Woo Jin Kim,,,Chiropractor,,"3111 W Orange Ave Ste 110, Anaheim, California",+1 213-382-5100,
https://www.facebook.com/pages/Taghreed-M-Abutaleb/750280365106939,Taghreed M. Abutaleb,,,Chiropractor,,"710 S Brookhurst St Ste A, Anaheim, California",+1 714-533-2922,
https://www.facebook.com/pages/Beshqoy-Yousef-Dr-West-Care-Medical-Center/195089390842576,"Beshqoy, Yousef Dr-West Care Medical Center",,,Chiropractor,,"2500 E Ball Rd Ste 100, Anaheim, California",+1 714-563-0709,Always Open
https://www.facebook.com/pages/Safavi-A-Seyed-DC/132962533423421,Safavi A Seyed DC,,,Chiropractor,,"3441 W Ball Rd, Ste E, Anaheim, California",+1 714-952-9553,
https://www.facebook.com/pages/Shelton-Trista-DR/117536854974282,Shelton Trista DR,,,Chiropractor,,"5632 E La Palma Ave, Anaheim, California",+1 714-779-3130,
https://www.facebook.com/pages/Dr-Mark-Newman-Chiropractic-Wellness-Center/219997801436191,Dr. Mark Newman - Chiropractic Wellness Center,4.8,5,Chiropractor,,1125 N Magnolia Ave,+1 714-220-0520,
https://www.facebook.com/healthsourceofanaheim/,HealthSource of Anaheim,5.0,29,Chiropractor,,504 N. State College Blvd.,+1 714-772-7100,Opens Monday
https://www.facebook.com/Welch-Chiropractic-Inc-534876653255925/,Welch Chiropractic Inc.,5.0,1,Chiropractor,,980 S Euclid St,+1 714-535-1404,
https://www.facebook.com/Anaheim-Chiropractic-Health-Care-214286908620653/,Anaheim Chiropractic Health Care,5.0,6,Chiropractor,,135 S Knott Ave,+1 714-772-2225,Closes in 10 minutes
https://www.facebook.com/Hands-On-Wellness-Center-154067547978218/,Hands On Wellness Center,4.6,19,Chiropractor,,"5100 E La Palma Ave, Ste 104",+1 714-779-3130,Closes in 10 minutes
https://www.facebook.com/TheJointAnaheim/,The Joint Chiropractic,5.0,4,Chiropractor,$$,2146 E Lincoln Ave,+1 714-635-6468,Closes in 10 minutes
https://www.facebook.com/Anaheim-Chiropractic-Rehab-Center-425937504165224/,Anaheim Chiropractic & Rehab Center,5.0,3,Chiropractor,,"710 S Brookhurst St, Ste A",+1 714-533-2002,Closes in 10 minutes
https://www.facebook.com/714956BACK/,Sports & Family Chiropractic,5.0,3,Chiropractor,,"50 S Anaheim Blvd, Ste 250",+1 714-956-2225,
https://www.facebook.com/ghazi1976/,Dr Idriss,5.0,5,Chiropractor,$,"631 S Brookhurst St, Ste 209",+1 714-783-7122,Closes in 10 minutes
