Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/pages/Rand-Jackson-DC/216008305093215,"Rand Jackson, D.C.",5.0,1,Chiropractor,,"Bakersfield, California",,
https://www.facebook.com/pages/Town-Country-Chiropractic/107825759561892,Town & Country Chiropractic,,,Family Medicine Practice,,"8200 Stockdale Hwy, Bakersfield, California",+1 661-833-1111,
https://www.facebook.com/pages/Bakersfield-Chiropractic/110717935661312,Bakersfield Chiropractic,,,Chiropractor,,2920 F St Ste B2,+1 661-871-3300,
https://www.facebook.com/pages/Pedersen-Chiropractic/151172491595727,Pedersen Chiropractic,,,Chiropractor,,"Bakersfield, California",+1 661-325-4446,
https://www.facebook.com/pages/Lifetime-Chiropractic/517993731610521,Lifetime Chiropractic,5.0,1,Chiropractor,,1002 Wible Rd Ste H,+1 661-397-1909,
https://www.facebook.com/pages/DrMarch-Chiropractor/233986326646314,Dr.March Chiropractor,5.0,2,Chiropractor,,3737 Stockdale hwy ste 120 Bakersfield CA,,
https://www.facebook.com/pages/Health-1st/142131582504187,Health 1st,,,Chiropractor,,1201 24th St Ste B200,+1 661-324-4431,
https://www.facebook.com/pages/East-Hills-Chiropractic/116360875371041,East Hills Chiropractic,,,Chiropractor,,"2010 17th St, Bakersfield, California",+1 661-871-3500,Opens Monday
https://www.facebook.com/pages/Keith-Chiropractic/135378596511032,Keith Chiropractic,5.0,4,Chiropractor,,"1601 New Stine Rd, Ste 195",+1 661-397-3179,
https://www.facebook.com/McCan-Family-Chiropractic-122822374401712/,McCan Family Chiropractic,5.0,30,Chiropractor,,2125 F St,+1 661-323-5760,Opens Monday
https://www.facebook.com/Herrera-Integrated-Chiropractic-582449708610525/,Herrera Integrated Chiropractic,5.0,6,Chiropractor,,"6001 Truxtun Ave, Ste 180",+1 661-441-3260,
https://www.facebook.com/wedemeyerbwellchiropractic/,Be Well Chiropractic,4.9,22,Chiropractor,$,7800  Meany Ave,+1 661-679-7902,Opens tomorrow
https://www.facebook.com/DrBrendonBradley/,Bradley Chiropractic Nutrition Center,5.0,22,Chiropractor,,5001 Stockdale Hwy,+1 661-617-6160,Opens Monday
https://www.facebook.com/drjasonsabol/,"Dr. Jason Sabol, DC",5.0,10,Chiropractor,,6647 Ming Ave,+1 661-834-1544,Opens at 8:00pm
https://www.facebook.com/Haynes-Chiropractic-385336055936/,Haynes Chiropractic,4.9,17,Chiropractor,,3865 Stockdale Hwy,+1 661-322-2875,Opens Monday
https://www.facebook.com/pages/Mills-Chiropractic/185315594815527,Mills Chiropractic,5.0,2,Chiropractor,,331 S H St,+1 661-835-7037,
https://www.facebook.com/DTWchris/,Downtown Wellness,4.6,16,Chiropractor,$$,,+1 661-374-4949,Closes in 10 minutes
https://www.facebook.com/carlosreyesdc/,"Elite Chiropractic- Bakersfield, CA",5.0,8,Chiropractor,,2612 F St,+1 661-873-4151,Opens Monday
https://www.facebook.com/unlimitedchiro/,Unlimited Chiropractic - Bakersfield,4.8,11,Chiropractor,$$$$,1412  17th St,+1 661-861-8808,
https://www.facebook.com/advancedspinalhealthllc/,Advanced Spinal Health & Advanced Nutritional Consulting,5.0,6,Chiropractor,,"1001 Tower Way, Ste 130",+1 661-327-2622,Opens Monday
