Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/palmerfloridacampus/,Palmer College of Chiropractic - Florida Campus,,,Chiropractor,,4777 City Center Pkwy,+1 386-763-2709,
https://www.facebook.com/pages/Mandell-Alan-DR/155674447805864,Mandell Alan DR,4.8,28,Chiropractor,,20334 NW 2nd Ave,+1 305-654-9100,Opens Monday
https://www.facebook.com/MyodetoxOrlando/,Myodetox Orlando,5.0,21,Chiropractor,$$,"1325 South International Parkway, Suite 1221",+1 407-732-7861,Opens tomorrow
https://www.facebook.com/AdvancedHealthcareofthePalmBeaches33463/,Advanced Healthcare of the Palm Beaches,4.3,35,Chiropractor,,"4640 Hypoluxo Rd, Ste 2",+1 561-296-1715,Opens Monday
https://www.facebook.com/MarshallFamilyChiropractic/,Marshall Family Chiropractic,4.9,83,Chiropractor,,"7807 Baymeadows Rd E, Ste 201",+1 904-306-7777,Opens tomorrow
https://www.facebook.com/kinnardchiropractic/,Kinnard Chiropractic,4.7,52,Chiropractor,,2611 Highway 44 W,+1 352-726-0554,
https://www.facebook.com/livewellsouthflorida/,Live Well Chiropractic,4.9,85,Chiropractor,,4470 Weston Rd,+1 954-384-3275,Opens tomorrow
https://www.facebook.com/slaintechiropractic/,Sláinte Chiropractic,5.0,45,Chiropractor,,2370 3rd street South,+1 904-718-6330,Opens Monday
https://www.facebook.com/Revolutionchirojax/,Revolution Chiropractic 904.348.0039,5.0,90,Chiropractor,,14866 Old St. Augustine Road Suite 113,+1 904-348-0039,Opens Monday
https://www.facebook.com/scnhs/,Sports Chiropractic and Natural Health Solutions,5.0,59,Chiropractor,,"9878 Clint Moore Rd, Ste 206",+1 561-313-9117,Opens Monday
https://www.facebook.com/WellnessExperience/,The Wellness Experience of Wellington,4.9,32,Chiropractor,,9180 Forest Hill Blvd,+1 561-333-5351,Opens tomorrow
https://www.facebook.com/TrueVineChiropractic/,True Vine Chiropractic Jupiter,5.0,39,Chiropractor,,6743 W. Indiantown Rd #37,+1 561-401-0915,Opens Monday
https://www.facebook.com/blossomfamilychiropractic/,Blossom Family Chiropractic,5.0,42,Chiropractor,,360 Central Avenue Ste 480,+1 727-498-5643,Opens Monday
https://www.facebook.com/HealthandSpine/,Infinite Health & Spine Center,5.0,86,Chiropractor,,201 Ruby Ave,+1 407-931-3700,Opens Monday
https://www.facebook.com/RevitalizeChiropractic/,Revitalize Chiropractic,5.0,37,Chiropractor,,8459 Gardens Circle,+1 941-404-1253,
https://www.facebook.com/pages/Jacksonville-VA-Outpatient-Clinic/148781488479577,Jacksonville VA Outpatient Clinic,3.5,144,Chiropractor,,1536 N Jefferson St,+1 904-475-5800,Always Open
https://www.facebook.com/stelioschiropractic/,Stelios Spine and Health,5.0,32,Chiropractor,,"2154 Duck Slough Blvd, Suite 103",+1 727-372-3333,Opens Monday
https://www.facebook.com/wattfamilychiropractic/,Watt Family Chiropractic,4.9,89,Chiropractor,,"2255 N Wickham Rd, Ste 109",+1 321-253-8511,Opens tomorrow
https://www.facebook.com/healthfitchiro/,Health-Fit Chiropractic & Sports Medicine,4.8,38,Chiropractor,,"2900 N Military Trl, Ste 220",+1 561-997-8898,Opens tomorrow
https://www.facebook.com/bonitaspringschiropractic/,"Neck Pain, Back Pain, and Headache Relief Center of Bonita Springs",5.0,28,Chiropractor,$,"3440 Renaissance Blvd, Ste 1",+1 239-908-4700,Opens Monday
https://www.facebook.com/NaturalHealingArtsMedical/,Natural Healing Arts Medical Center,5.0,69,Chiropractor,,2215 59th St W,+1 941-761-4994,Opens Monday
https://www.facebook.com/getlhc/,Lighthouse Chiropractic  9043428970,5.0,22,Chiropractor,,145 Hilden Rd Suite 123,+1 904-342-8970,Opens tomorrow
https://www.facebook.com/nordikchiropractic/,Nordik Chiropractic,5.0,37,Chiropractor,,"4601 Military Trail, #209",+1 561-781-8210,Opens tomorrow
https://www.facebook.com/newcitychiro/,New City Chiropractic,5.0,50,Chiropractor,,"6595 South Florida Ave, Suite 3",+1 863-940-3444,Opens tomorrow
https://www.facebook.com/IntegrateWellnessCenter/,Integrate Wellness Center,5.0,16,Chiropractor,,"4625 Halder Lane, Suite B",+1 407-203-5138,Opens Monday
