Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/TowerChiro/,Tower Chiropractic Wellness Center,4.9,49,Chiropractor,,1405 E Olive Ave,+1 559-459-0224,Opens Monday
https://www.facebook.com/pages/Zenimura-Kirk-S-DC/146097188768391,Zenimura Kirk S DC,5.0,1,Chiropractor,,5430 N Palm Ave,+1 559-438-4141,
https://www.facebook.com/pages/Fresno-Behavioral-Health-Department/1506305232997963,Fresno Behavioral Health Department,,,Chiropractor,,4441 E Kings Canyon Rd,+1 559-453-4099,
https://www.facebook.com/Gilliland-Chiropractic-163249817036678/,Gilliland Chiropractic,5.0,3,Chiropractor,,"2755 E Shaw Ave Suite 104, Fresno, California",+1 559-490-1323,
https://www.facebook.com/pages/Dr-Tu-Depry/198766490143329,Dr. Tu Depry,,,Chiropractor,,"Fresno, California",,
https://www.facebook.com/pages/Advanced-Chiropractic/127800623933386,Advanced Chiropractic,,,Chiropractor,,"3248 E Shields Ave, Ste E",+1 559-226-1695,
https://www.facebook.com/Chiropractor-Fresno-Kings-Canyon-Chiropractic-141667762575115/,Chiropractor Fresno | Kings Canyon Chiropractic,3.0,1,Chiropractor,,"4842 E Kings Canyon Rd, Ste 103",+1 559-549-7542,
https://www.facebook.com/pages/Fresno-Chiropractic/132601196805090,Fresno Chiropractic,,,Chiropractor,,1300 W Shaw Ave,,
https://www.facebook.com/Troy-Garabedian-DC-583184378440805/,Troy Garabedian D.C.,,,Chiropractor,,5649 N Palm Ave,Opens Monday,
https://www.facebook.com/michaelsalernodc/,Dr. Michael R. Salerno DC,5.0,5,Chiropractor,,488 W Shaw Ave,+1 559-227-0995,Opens Monday
https://www.facebook.com/ReynaChiropracticClinic/,Reyna Chiropractic Clinic,5.0,6,Chiropractor,,1445 E Shields Ave,+1 559-225-2859,Closes in 15 minutes
https://www.facebook.com/HarbinClymoreChiropractic/,Harbin/Clymore Chiropractic,4.7,13,Chiropractor,$$,"2416 W Shaw Ave, Ste 107",+1 559-439-4439,Opens Monday
https://www.facebook.com/kingscanyonchiropractic/,Kings Canyon Chiropractic,5.0,6,Chiropractor,,4842 E Kings Canyon Rd.,+1 559-255-7121,Opens Monday
https://www.facebook.com/NaturalPathHealthCenterofFresno/,Natural Path Health Center of Fresno,5.0,19,Chiropractor,,1180 E. Shaw Suite 101,+1 559-447-1404,Opens tomorrow
https://www.facebook.com/currychiropractic/,Curry Chiropractic,5.0,44,Chiropractor,,"1706 E Bullard Ave, Ste 101",+1 559-431-0626,Opens Monday
https://www.facebook.com/SchroederChiropracticNorth/,Schroeder Chiropractic North,4.2,6,Chiropractor,,720 E Bullard Ave Ste 104,+1 559-439-4904,Opens Monday
https://www.facebook.com/AccidentCare4You/,Kuwamoto Chiropractic,5.0,5,Chiropractor,,2384 E Gettysburg Ave,+1 559-222-2333,
https://www.facebook.com/Integrity-Chiropractic-138264923010098/,Integrity Chiropractic,5.0,5,Chiropractor,,"1782 E Bullard Ave, Ste 102",+1 559-439-9001,
https://www.facebook.com/HokokianChiropractic/,Hokokian Chiropractic,5.0,7,Chiropractor,,1543 W Shaw Ave,+1 559-230-1102,Opens Monday
https://www.facebook.com/SunnysideWellnessandChiropracticCenter/,Sunnyside Wellness & Chiropractic Center,5.0,7,Chiropractor,,5207 E Belmont Ave,+1 559-454-1000,Opens tomorrow
https://www.facebook.com/AllianceHealthFresno/,Alliance Health,4.9,15,Chiropractor,,7065 N Chestnut Suite 101,+1 559-478-5833,Opens Monday
https://www.facebook.com/SchroederFamilyChiropractic/,Schroeder Family Chiropractic,5.0,6,Chiropractor,,2535 N Fresno St,+1 559-226-2535,Opens Monday
https://www.facebook.com/EricksonChiropracticFresno/,Erickson Chiropractic & Wellness Center,,,Chiropractor,,"5670 N Fresno St, Ste 102",+1 559-490-9550,Opens Monday
https://www.facebook.com/Backworks-332643990177006/,Backworks,4.9,8,Chiropractor,,"670 E Bullard Ave, Ste 102",+1 559-440-1919,Opens Monday
https://www.facebook.com/anrigchiropractic/,Anrig Chiropractic Offices,4.8,29,Chiropractor,,4201 N Clovis Ave,+1 559-291-5581,Opens tomorrow
https://www.facebook.com/dynamicfresno/,Dynamic Integrative Health,5.0,23,Chiropractor,,"1382 E Alluvial Ave, Ste 106",+1 559-432-9700,Opens Monday
https://www.facebook.com/Blackstone-Chiropractic-Clinic-211588992192097/,Blackstone Chiropractic Clinic,4.7,7,Chiropractor,$$,"5665 N Blackstone Ave, Ste 107",+1 559-449-9777,Opens Monday
https://www.facebook.com/yuccinc/,Yang Universal Chiropractic Care Inc.,5.0,4,Chiropractor,,3139 E McKinley Ave,+1 559-486-3894,Opens Monday
