Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/northwoodschiropractic/,North Woods Chiropractic,5.0,17,Chiropractor,,"77 W Prairie Shopping Ctr, Hayden, Idaho",+1 208-762-3560,Opens Monday
https://www.facebook.com/drbradywirick/,"Dr. Brady Wirick, DC, DACNB.  Idaho Chiropractic Neurology",4.6,9,Chiropractor,,"2429 Jafer Ct., Idaho Falls, Idaho",+1 208-523-1620,Opens Monday
https://www.facebook.com/Jon-R-Gray-Chiropractic-Center-139169842695/,Jon R. Gray Chiropractic Center,4.2,14,Chiropractor,,"13238 W Persimmon Ln, Ste 102, Boise, Idaho",+1 208-854-0600,Opens Monday
https://www.facebook.com/River-City-Chiropractic-307268680997/,River City Chiropractic,4.8,34,Chiropractor,,1109 East Polston Avenue,+1 208-777-4000,Opens Monday
https://www.facebook.com/drtimcannon/,Cannon Chiropractic,4.9,22,Chiropractor,$,611 Ensign Dr,+1 208-557-1880,Always Open
https://www.facebook.com/ThegymatBRC/,The Gym at Bear River Chiropractic,4.5,8,Chiropractor,$,"35 W Center St, Soda Springs, Idaho",+1 208-547-4518,Always Open
https://www.facebook.com/boiseapexchiro/,Apex Chiropractic & Wellness,4.7,15,Chiropractor,,"2200 E Warm Springs Ave Ste 106, Boise, Idaho",+1 208-331-7000,Opens Monday
https://www.facebook.com/AligntheSpine/,Lewiston Family Chiropractic,5.0,47,Chiropractor,$,3510 12th St,+1 208-799-3333,Opens Monday
https://www.facebook.com/McKimChiropractic.NampaID/,"Mckim Chiropractic - Nampa, ID",4.8,104,Chiropractor,,2023 12th Ave Rd,+1 208-467-5756,Opens Monday
https://www.facebook.com/chiroidaho/,"Travis White, DC",4.9,23,Chiropractor,,1100 North Cole Road,+1 208-375-3500,Opens Tuesday
https://www.facebook.com/Aways20Chiro/,8th Street Chiropractic - Always $20,5.0,44,Chiropractor,$$,703 8th St,+1 208-792-7960,Opens tomorrow
https://www.facebook.com/spoelstrachiro/,Spoelstra Family Chiropractic,4.7,43,Chiropractor,,214 W Sunset Ave,+1 208-667-7434,
https://www.facebook.com/drjasonwatson/,Active Health & Wellness / Boise Cryotherapy,4.7,20,Chiropractor,,1521 E Boise Ave,+1 208-344-5433,Opens Monday
https://www.facebook.com/thewestclinic/,The West Clinic,4.9,67,Chiropractor,$$$,1188 Call Creek Dr,+1 208-232-3216,Opens Monday
https://www.facebook.com/TrailheadSportsClinic/,Trailhead Sports Clinic,5.0,22,Chiropractor,$$$$,"3858 N Garden Center Way, Ste 101",+1 208-336-0017,Opens Monday
https://www.facebook.com/BalancedMovementChiropractic/,Balanced Movement Chiropractic,5.0,29,Chiropractor,,16730 N Market Place Blvd,+1 208-466-4600,Opens Monday
https://www.facebook.com/LiveRightChiropractic/,Live Right Chiropractic,5.0,30,Chiropractor,,"2300 S Orchard, Suite A",+1 208-383-3703,Opens Monday
