Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/BarthFamilyChiro/,Barth Family Chiropractic,5.0,29,Chiropractor,$$,3539 Southern Hills Dr. STE 4,+1 712-274-3353,Opens Monday
https://www.facebook.com/PrecisionChiroWest/,Precision Chiropractic West - West Des Moines,5.0,22,Chiropractor,$$,"2501 Westown Pkwy #1202 1/2, West Des Moines, Iowa",+1 515-224-1093,Opens Monday
https://www.facebook.com/dradamlinden/,"Dr. Adam Linden, Chiropractor, Inspirit Institute",,,Chiropractor,,"3220 Dodge Street, Dubuque, Iowa",+1 563-583-7700,
https://www.facebook.com/truelifewellness/,"True Life Wellness | Tyler Molstre, D.C.",4.9,30,Chiropractor,,"14225 University Ave, Ste 118",+1 515-225-2266,Opens Monday
https://www.facebook.com/Collins-Road-Chiropractic-87260093917/,Collins Road Chiropractic,4.9,55,Chiropractor,,"375 Collins Rd NE Ste 22, Cedar Rapids, Iowa",+1 319-395-9897,Open Now
https://www.facebook.com/Beckwith-Chiropractic-Neurology-178351692206606/,Beckwith Chiropractic Neurology,4.7,18,Chiropractor,,"3481 Utica Ridge Rd, Bettendorf, Iowa",+1 563-345-1111,Opens Monday
https://www.facebook.com/HanksChiro/,"Hanks Chiropractic, Acupuncture and Auto injury Clinic",5.0,29,Chiropractor,,"433 E Mt Pleasant St, West Burlington, Iowa",+1 319-753-5441,Opens tomorrow
https://www.facebook.com/BettendorfChiropractic/,Bettendorf Chiropractic Wellness Center,4.9,39,Chiropractor,,"2435 Kimberly Rd, Ste 100 S, Bettendorf, Iowa",+1 563-359-5600,Opens Monday
https://www.facebook.com/dubuquechiropractor/,Fullness of Life Chiropractic  563-583-2095,5.0,49,Chiropractor,,"150 John F Kennedy Road, Suite 10",+1 563-583-2095,Opens Monday
https://www.facebook.com/Ruehle-Family-Chiropractic-222331555536/,Ruehle Family Chiropractic,4.8,23,Chiropractor,,"3215 Gordon Dr, Sioux City, Iowa",+1 712-224-3949,Opens Monday
https://www.facebook.com/jenkinschiropracticandwellness/,Jenkins Chiropractic,4.8,38,Chiropractor,$,1146 Blairs Ferry RD NE #5,+1 319-393-4303,Opens Monday
https://www.facebook.com/dsmspinesport/,DSM Spine+Sport,5.0,111,Chiropractor,,4456  128th St,+1 515-276-4344,Opens Monday
