Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/WatkinsTotalHealthcareLLC/,Watkins Total Healthcare,4.7,45,Chiropractor,,"961 Green St NE, Gainesville, Georgia",+1 770-534-0656,Opens Monday
https://www.facebook.com/Linn-Family-Chiropractic-PC-150979741611108/,"Linn Family Chiropractic, P.C.",5.0,31,Chiropractor,,"4508 38th St, Ste 230",+1 402-564-6565,Opens Monday
https://www.facebook.com/MTchiro/,Mosier/Timperley Chiropractic Clinic,4.9,46,Chiropractor,,4645 Normal Blvd Suite 200,+1 402-483-6633,Opens tomorrow
https://www.facebook.com/Beatrice-Family-Chiropractic-Dr-RJ-Crandall-79527644093/,Beatrice Family Chiropractic - Dr. RJ Crandall,5.0,24,Chiropractor,,2526 Court St,+1 402-228-2777,Opens Monday
https://www.facebook.com/KearneyDC/,Kowalski Chiropractic Health & Performance,5.0,26,Chiropractor,,3803 2nd Ave,+1 308-455-1410,Opens Monday
https://www.facebook.com/OptHealthChiro/,Optimal Health Sports & Family Chiropractic,4.9,22,Chiropractor,,"210 NE Delaware Ave #230,, Ankeny, Iowa",+1 515-964-9966,Opens Monday
https://www.facebook.com/driverchiropractic/,Driver Chiropractic,5.0,42,Chiropractor,,2107 23rd St,+1 402-270-1062,Opens Monday
https://www.facebook.com/tristatephysicians/,Tristate Physicians and Physical Therapy Clinic,4.9,34,Chiropractor,,3900 Dakota Ave,+1 402-494-5173,Opens tomorrow
https://www.facebook.com/Advanced-Chiropractic-and-Wellness-PC-340413479325376/,"Advanced Chiropractic and Wellness, P.C.",4.9,37,Chiropractor,,"2108 Taylor Ave, Ste 100",+1 402-371-9000,Opens Monday
https://www.facebook.com/Klayton-M-Young-DC-1759986280993655/,"Klayton M. Young, DC",5.0,16,Chiropractor,,Complete Balance Chiropractic 7320 Harrison St.,+1 402-452-3350,Opens Monday
https://www.facebook.com/taylorshiredc/,Dr. Taylor at Shire Chiropractic,5.0,14,Chiropractor,$$,262 North 114th Street,+1 402-502-3433,Opens tomorrow
https://www.facebook.com/OmahaSpineandSport/,Omaha Spine and Sport,5.0,16,Chiropractor,,"15615 Pacific St, Ste 106",+1 402-933-4447,
