Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/MoundsViewChiropractic/,Mounds View Chiropractic,4.6,78,Chiropractor,,2220 Highway 10,+1 763-398-7770,
https://www.facebook.com/TrilliumSpinalCare/,Trillium Spinal Care,5.0,33,Chiropractor,,"2300 Supeior Dr NW, Suite 2",+1 507-322-0133,Opens Monday
https://www.facebook.com/inspirelifechirocenter/,Inspire Life Chiropractic Center,5.0,23,Chiropractor,,750 Main St #108,+1 651-756-1218,
https://www.facebook.com/woodburyspinemn/,Woodbury Spine:  Wellness Center,4.9,72,Chiropractor,$$,"8147 Globe Dr, Ste 100",+1 651-731-0505,Opens tomorrow
https://www.facebook.com/imperialfamilychiro/,Imperial Family Chiropractic,5.0,19,Chiropractor,,19685 Pilot Knob Rd Ste 260,+1 651-478-6988,Opens tomorrow
https://www.facebook.com/peakpotentialchiropractic/,"Peak Potential Family Chiropractic, Minnetonka",5.0,19,Chiropractor,,16190 Hwy 7,+1 952-582-1172,Opens Monday
https://www.facebook.com/seasonsfamilychiropractic/,Seasons Family Chiropractic,5.0,35,Chiropractor,,"8425 Seasons Pkwy, Ste 104B",+1 651-735-0079,Opens Monday
https://www.facebook.com/cornerstonechiroclinic/,Cornerstone Chiropractic 651.207.6182,4.9,23,Chiropractor,,"8470 City Centre Dr, Ste D",+1 651-207-6182,Opens Monday
https://www.facebook.com/BrookdaleHealth/,Brookdale Health,4.7,30,Chiropractor,,"5740 Brooklyn Blvd, Ste 100",+1 763-561-4045,Opens Monday
https://www.facebook.com/myuprighthealth/,Upright Health Muscle & Joint Care,5.0,17,Chiropractor,$$,"17316 Kenyon Ave, Ste 103",+1 952-236-0767,Opens tomorrow
https://www.facebook.com/lakewoodschiropractic/,Lakewoods Chiropractic,4.6,71,Chiropractor,,"255 Highway 97, Ste 2A",+1 651-464-0800,Opens tomorrow
https://www.facebook.com/ChiroFitHealth/,ChiroFit Health & Wellness,5.0,18,Chiropractor,$,7118 Shady Oak Rd,+1 952-943-2404,Opens Monday
https://www.facebook.com/welladjustedmpls/,Well Adjusted Minneapolis,5.0,38,Chiropractor,$$$,401 N 3rd St,+1 612-351-8045,Opens Monday
https://www.facebook.com/westendchiromn/,West End Chiropractic and Wellness,5.0,89,Chiropractor,$$,"1660 Highway 100 S, Ste 146",+1 952-500-8477,Opens Monday
https://www.facebook.com/finishlinechiropractic/,Finish Line Wellness,4.9,91,Chiropractor,,4401 Egan Dr,+1 952-746-4162,Opens Monday
https://www.facebook.com/ChiroWayDuluthChiropractor/,ChiroWay of Duluth,5.0,25,Chiropractor,,919 W Central Entrance,+1 877-442-4476,Opens tomorrow
https://www.facebook.com/AnchoredChiroMN/,Anchored Chiropractic 651.571.0201,5.0,16,Chiropractor,,1060 Curve Crest Blvd Suite 102,+1 651-571-0201,Opens tomorrow
https://www.facebook.com/PlymouthMNChiropractor/,Experience Wellness Chiropractic,5.0,30,Chiropractor,$$,15705 35th Ave N,+1 763-383-5109,Opens Monday
https://www.facebook.com/abundantlifechiropractor/,Abundant Life Chiropractic,5.0,27,Chiropractor,,7945  Stone Creek Dr,+1 952-300-8338,Opens Monday
https://www.facebook.com/VibrantLifeCenterEdina/,Vibrant Life Center - Edina,4.4,25,Chiropractor,$$,"7250 France Ave S, Ste 111",+1 952-835-0006,Opens tomorrow
https://www.facebook.com/AchieveMyWellness/,Achieve Wellness,,,Chiropractor,,114 5th Ave W.,+1 320-432-4660,Opens Monday
https://www.facebook.com/cadencechiromn/,"Cadence Chiropractic - Chiropractor Eden Prairie, MN",5.0,21,Chiropractor,,6409 City West Parkway Suite 105,+1 952-855-7656,Opens Monday
https://www.facebook.com/LynLakeChiropracticNE/,Lyn Lake Chiropractic,5.0,20,Chiropractor,$,34 13th Ave NE,+1 612-378-1050,Opens Monday
https://www.facebook.com/AlignMN/,Align Health & Wellness,4.9,32,Chiropractor,,2399 W. Wayzata Blvd. Suite 200,+1 952-476-2260,Opens Monday
https://www.facebook.com/healthsourceofplymouthmn/,HealthSource of Plymouth,4.9,37,Chiropractor,,"4205 Lancaster Lane North, Suite 105",+1 763-600-8205,Opens Monday
https://www.facebook.com/WINNERSEDGE/,Winners Edge Chiropractic Consulting,5.0,18,Chiropractor,,7114 Shady Oak Rd,+1 952-943-2442,
https://www.facebook.com/thrivewellnesstoday/,Thrive Wellness Center,4.9,34,Chiropractor,,2766 Commerce Drive NW Suite C,+1 507-258-4100,Opens Monday
https://www.facebook.com/Moorheadchiropractor/,Foss Spine and Wellness,5.0,63,Chiropractor,,"2921 S Frontage Rd, Ste 3",+1 218-233-8544,Opens Monday
https://www.facebook.com/healthsourceofchanhassen/,HealthSource of Chanhassen,5.0,34,Chiropractor,,"470 W. 78th, Suite 100",+1 952-934-1772,Opens Monday
