Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/DrJudyRoth/,Dr. Judith Roth Chiropractic,5.0,2,Chiropractor,,"164 Blackheath Rd, Long Beach, New York",+1 516-431-2636,Opens Monday
https://www.facebook.com/pages/Chiropractic-Physical-Therapy-Center/135383479845095,Chiropractic & Physical Therapy Center,5.0,1,Chiropractor,,3535 E 7th St,+1 562-434-0062,
https://www.facebook.com/West-Chiropractic-199234816893551/,West Chiropractic,5.0,2,Chiropractor,,"5479 E Abbeyfield St, Ste 2",+1 562-498-6649,
https://www.facebook.com/Optimum-Health-Medical-Center-226487844062403/,Optimum Health Medical Center,,,Chiropractor,,"1703 Termino Ave, Ste 107",+1 562-494-8008,
https://www.facebook.com/pages/Ward-Chiropractic/140513519331823,Ward Chiropractic,5.0,3,Chiropractor,,6530 E Spring St,+1 562-420-8884,
https://www.facebook.com/pages/Long-Beach-Wellness-Center/148396075204398,Long Beach Wellness Center,,,Chiropractor,,"830 Atlantic Ave, Long Beach, California",+1 562-285-0149,
https://www.facebook.com/GallagherChiropracticSportsMedicine/,Gallagher Chiropractic & Sports Medicine,4.9,15,Family Medicine Practice,,"5324 E 2nd St, Long Beach, California",+1 562-433-2443,Opens tomorrow
https://www.facebook.com/pages/Bay-Chiropractic/266463503388906,Bay Chiropractic,,,Chiropractor,,"1447 Santa Fe Ave, Long Beach, California",+1 562-437-9000,
https://www.facebook.com/pages/Foothill-Rehabilitation/169766799704196,Foothill Rehabilitation,5.0,1,Chiropractor,,4000 Long Beach Blvd,+1 562-637-3274,Always Open
https://www.facebook.com/Judd-Chiropractic-472656606096941/,Judd Chiropractic,5.0,2,Chiropractor,,532 Redondo Ave,+1 562-439-0419,Opens Monday
https://www.facebook.com/Dr-Justin-Grasmeyer-DC-656823071030076/,"Dr. Justin Grasmeyer, DC",5.0,11,Chiropractor,,"1945 Palo Verde Ave, Ste 100",+1 562-319-9944,Opens tomorrow
https://www.facebook.com/pages/Dr-Lynott-Chiropractor/213160455374863,Dr. Lynott Chiropractor,5.0,14,Chiropractor,,5512 E Britton Dr Ste 100,+1 562-597-6464,
