Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/MichiganChiro/,Michigan Association of Chiropractors,4.9,34,Chiropractor,,"416 W Ionia St, Lansing, Michigan",+1 517-367-2225,Opens Monday
https://www.facebook.com/bigbeautifullife/,Big Beautiful Life - Traverse City Wellness Chiropractor,4.7,20,Chiropractor,,"515 S Union St, Traverse City, Michigan",+1 231-421-9189,Opens Monday
https://www.facebook.com/healthforlife/,Health for Life Chiropractic & Wellness,5.0,28,Chiropractor,,43059 7 Mile Rd,+1 248-449-1630,Opens tomorrow
https://www.facebook.com/mccansechiropractic/,McCanse Chiropractic Clinic,4.7,3,Chiropractor,$$,"45648 M 51, Decatur, Michigan",+1 269-423-7034,Opens tomorrow
https://www.facebook.com/renaissancepro/,"Renaissance Chiropractic, P.C.",4.9,32,Chiropractor,$$,1501 s center rd bldg a,+1 810-715-7746,Opens tomorrow
https://www.facebook.com/mandmchiro/,M&M Chiropractic and Wellness,4.9,18,Chiropractor,$,725 10th Ave.,+1 906-863-8410,Opens Monday
https://www.facebook.com/ChiroHealthRockford/,ChiroHealth Rockford,4.9,38,Chiropractor,,"6769 Courtland Dr NE, Ste 100",+1 616-863-9482,Opens Monday
https://www.facebook.com/2Spinedocs/,Leverenz Family Chiropractic,4.9,47,Chiropractor,,"2915 Lapeer Rd, Port Huron, Michigan",+1 810-985-0084,Opens tomorrow
https://www.facebook.com/lupowellness/,"Lupo Chiropractic Center- ""Relief to Wellness""",4.9,63,Chiropractor,$,"27850 Gratiot Ave, Roseville, Michigan",+1 586-772-5876,Opens tomorrow
https://www.facebook.com/VibrantLifeGR/,Vibrant Life Chiropractic,5.0,31,Chiropractor,,"1971 E Beltline Ave NE, Suite 126",+1 616-855-2017,
https://www.facebook.com/PetoskeyFamilyChiropractor/,Bear River Chiropractic,5.0,19,Chiropractor,,2780 Charlevoix Ave Suite 14,+1 231-881-9391,Opens Monday
https://www.facebook.com/appliedmodernhealth/,Applied Modern Health,4.9,21,Chiropractor,,15825 Middlebelt Rd,+1 734-525-0200,Opens Monday
https://www.facebook.com/Sharkeychiro/,Sharkey Chiropractic Sport and Wellness Center,5.0,23,Chiropractor,,2640 South Cleveland Avenue,+1 269-982-1611,
https://www.facebook.com/shaftchiropractic/,Shaft Chiropractic Wellness,4.9,55,Chiropractor,,8500 N Canton Center Rd,+1 734-455-3933,Opens Monday
https://www.facebook.com/getlimitlesschiropractic/,Limitless Chiropractic,5.0,26,Chiropractor,,"6431 28 th Street, SE",+1 616-965-1845,Opens Monday
https://www.facebook.com/ButzinChiro/,Butzin Chiropractic Clinic,5.0,15,Chiropractor,,2050 Chesley Dr,+1 586-207-7926,Opens tomorrow
https://www.facebook.com/Odette-Chiropractic-Family-Health-Center-137504152976363/,Odette Chiropractic Family Health Center,4.9,204,Chiropractor,$,20960 Allen Rd,+1 734-479-5130,
https://www.facebook.com/TheChiroCoOp/,The Chiropractic Co-Op  -  Dr Josh Pulver,4.9,68,Chiropractor,$$,267 Creekside Dr #100,+1 231-348-7540,Opens Monday
https://www.facebook.com/artoftouchhealthandwellnesscenter/,Art of Touch Health and Wellness Center,4.9,14,Chiropractor,,582 Territorial Rd W,+1 269-962-5030,Opens tomorrow
https://www.facebook.com/duncanchiropracticgroup/,Duncan Chiropractic Group,4.8,116,Chiropractor,,8336 Hilton Rd Ste 100,+1 810-225-2288,Opens Monday
https://www.facebook.com/ACMSClinics/,ACMS,4.5,17,Chiropractor,,"621 Chartier Rd, Suit B",+1 810-420-0801,Opens tomorrow
https://www.facebook.com/EmbraceLifeChiropractic/,Embrace Life Chiropractic,4.9,35,Chiropractor,,2044 W Auburn Rd,+1 248-468-1662,Opens Monday
https://www.facebook.com/H1Chiro/,Health First Chiropractic Clinic P.C. 616-974-9922,4.9,49,Chiropractor,$$$$,3097 29th St SE,+1 616-974-9922,Opens tomorrow
https://www.facebook.com/wolfefamilychiro/,"Wolfe Family Chiropractic- Metamora, MI",5.0,21,Chiropractor,$$,830 West Dryden Rd,+1 810-212-1200,Opens Monday
