Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/drjeffreytucker90025/,Dr. Jeffrey Tucker,4.5,2,Chiropractor,$,11620 Wilshire Blvd Suite 710,+1 310-444-9393,Opens Monday
https://www.facebook.com/Cleveland-Chiropractic-College-Los-Angeles-Alumni-Association-42958849113/,Cleveland Chiropractic College Los Angeles Alumni Association,4.0,2,Chiropractor,,"590 N Vermont Ave, Los Angeles, California",+1 323-906-2196,
https://www.facebook.com/OlympicChiropractic1/,Olympic Chiropractic,5.0,11,Chiropractor,,11545 W Olympic Blvd,+1 310-477-4531,Opens tomorrow
https://www.facebook.com/BestChiropractorLosAngeles/,Dr. Ash - The Chiro Guy,5.0,14,Chiropractor,$,"5455 Wilshire Blvd , 102, Los Angeles, California",+1 323-939-9039,Opens tomorrow
https://www.facebook.com/wellnesssourcechiropractic/,Wellness Source Chiropractic - Dr. Daniel M. Rudé,5.0,10,Chiropractor,,"2320 S Robertson Blvd, Ste 103, Los Angeles, California",+1 310-280-0600,Opens Sunday
https://www.facebook.com/TAKAHASHI-CHIROPRACTIC-INC-120726337959659/,TAKAHASHI CHIROPRACTIC INC.,4.6,13,Chiropractor,,"11340 W Olympic Blvd, Ste 340",+1 310-445-1050,Opens tomorrow
https://www.facebook.com/drshadle/,"Dr. Nathan Shadle, Chiropractor",5.0,10,Chiropractor,,"6109 Lindenhurst Ave, Los Angeles, California",+1 323-655-6558,
https://www.facebook.com/Applied-Kinesiology-Center-of-Los-Angeles-142468995882/,Applied Kinesiology Center of Los Angeles,3.0,2,Chiropractor,,"2990 S Sepulveda Blvd, Ste 203, Los Angeles, California",+1 310-445-3350,Opens tomorrow
https://www.facebook.com/cappochiro/,Cappo Chiropractic & Sports Therapy,5.0,7,Chiropractor,$$,"11620 Wilshire Blvd. Ste 710, Los Angeles, California",+1 310-689-8135,Closes in 10 minutes
https://www.facebook.com/SpinalHealthCenterofSantaMonica/,Spinal & Health Center of Santa Monica,4.4,5,Chiropractor,,"2211 Corinth Ave, Ste 301, Los Angeles, California",+1 310-481-7160,Opens tomorrow
https://www.facebook.com/TheJointWilshireHighland/,The Joint Chiropractic,5.0,18,Chiropractor,$$,"5001 Wilshire Blvd, 114",+1 323-424-7787,Closes in 10 minutes
https://www.facebook.com/Spinefithealth/,SpineFit Health,5.0,28,Chiropractor,$$,903 S. Hill St.,+1 213-357-1018,Open Now
https://www.facebook.com/pages/Central-City-Community-Health-Center/161663157196626,Central City Community Health Center,3.9,16,Chiropractor,,5970 S Central Ave,+1 323-234-3280,Always Open
https://www.facebook.com/DrBenShamoiel/,Dr. Ben Shamoiel Chiropractic Center,5.0,11,Chiropractor,,"2080 Century Park E, Ste 503",+1 310-478-7775,Opens Monday
https://www.facebook.com/a2zhealthmassageschoolandwellnesscenter/,A2Z Health Massage School and Wellness Center,4.3,77,Chiropractor,$,7620 Lindley Ave,+1 888-303-3131,
https://www.facebook.com/ptakchiropractic/,Dr. Jeffrey Ptak DC MA,4.8,24,Chiropractor,,"11545 W Olympic Blvd, Ste B",+1 310-473-7991,Opens Monday
https://www.facebook.com/Morris-Rashtian-Chiropractic-Corp-294114563945/,Morris Rashtian Chiropractic Corp.,4.8,44,Chiropractor,,"8500 Wilshire Blvd, Ste 102",+1 310-659-3389,Closes in 10 minutes
https://www.facebook.com/TheChiroGuyLosAngeles/,Dr. Ash - Thechiroguy,3.2,53,Chiropractor,,8021 S. Vermont Ave #4,+1 323-939-9039,Opens Sunday
https://www.facebook.com/pages/Roybal-Edward-R-Comprehensive-Health-Center/158574764174200,Roybal Edward R Comprehensive Health Center,4.1,38,Chiropractor,,245 S Fetterly Ave,+1 800-383-4600,Opens tomorrow
https://www.facebook.com/urbanmedLA/,Urban Med,4.5,11,Chiropractor,$$,408 W 11th St,+1 213-406-8055,Opens tomorrow
https://www.facebook.com/90210docDOTCOM/,Beverly Hills SPINE & Rehabilitation,5.0,10,Chiropractor,,"435 N. Bedford Drive, Suite 406",+1 888-782-4476,Opens tomorrow
https://www.facebook.com/BeverlyHillsHeadacheInstitute/,Beverly Hills Headache Institute,3.6,16,Chiropractor,,"8920 Wilshire Blvd, Ste 520",+1 310-432-2880,Opens tomorrow
https://www.facebook.com/AtlasHealthCareCenter/,Atlas Health Care Center,4.9,17,Chiropractor,$$,"17200 Ventura Blvd, Ste 212",+1 818-995-4488,Open Now
https://www.facebook.com/Yerman-Chiropractic-231301656910672/,Yerman Chiropractic,5.0,15,Chiropractor,$,"16161 Ventura Blvd, Ste 106",+1 818-995-4300,
https://www.facebook.com/backtth/,Back to Total Health Wellness Center,4.4,19,Chiropractor,,"1106 N La Cienega Blvd, Ste 107",+1 310-659-8500,Closes in 10 minutes
https://www.facebook.com/Dr.RichardHill/,Hill Chiropractic & Pilates.,4.7,24,Chiropractor,$,"400 S Beverly Dr, Ste 440",+1 310-659-2787,Opens tomorrow
https://www.facebook.com/VitalChiropracticDrJimenez/,"The Vital Chiropractic Center Dr. Jimmy Jimenez, DC",4.8,11,Chiropractor,,660 W 7th St,+1 310-832-4476,Opens tomorrow
https://www.facebook.com/ccc304/,"Conscious Chiropractic Care - Daniel Katrikh, DC",5.0,9,Chiropractor,,5300 Santa Monica Blvd. #304,+1 323-848-4580,Opens Monday
https://www.facebook.com/backtowellnesscenter/,Back To Wellness Center,4.8,24,Chiropractor,$$,12526 Riverside Dr,+1 818-985-2559,Opens tomorrow
https://www.facebook.com/DrBenDC/,Dr. Benjamin Liang,4.8,11,Chiropractor,,"Cedars-Sinai Medical Towers 8631 W 3rd St, Suite 304E",+1 310-853-0143,Closes in 10 minutes
https://www.facebook.com/bestchiropractor/,"Dr. Ken Best, D.C. - ManyLevels",5.0,10,Chiropractor,$$$$,650 N La Peer Dr,+1 323-655-5515,Opens tomorrow
https://www.facebook.com/chiromotionla/,Chiromotion,5.0,11,Chiropractor,,"1350 N Highland Ave, Ste A",+1 323-606-6282,Opens tomorrow
https://www.facebook.com/uplifthealthandwellness/,Uplift Health and Wellness,5.0,13,Chiropractor,,1022 Palm Ave,+1 424-288-4285,
https://www.facebook.com/BradleyChiropracticInc/,"Bradley Chiropractic, Inc",5.0,19,Chiropractor,,7624 Santa Monica Blvd,+1 323-872-0609,Opens Monday
https://www.facebook.com/mehtacare/,Mehta Family HealthCare,4.6,28,Chiropractor,,"17401 Ventura Blvd, Ste A29",+1 818-788-6817,Opens tomorrow
https://www.facebook.com/Dr-Maura-Moynihan-Rosewood-Family-Healing-Center-224141414414223/,"Dr. Maura Moynihan, Rosewood Family Healing Center",5.0,25,Chiropractor,,,Opens Tuesday,
https://www.facebook.com/Maya-Chiropractic-Center-146300122924/,Maya Chiropractic Center,4.8,16,Chiropractor,,"321 N Maclay Ave, Ste C",+1 818-898-1000,Opens Monday
https://www.facebook.com/BodyStructure/,Body Structure A Healing Center,4.9,12,Chiropractor,$$$$,1011 Cole Ave,+1 323-469-8062,Opens tomorrow
https://www.facebook.com/ArmaniChiropractic/,Armani Chiropractic,5.0,7,Chiropractor,,6525 Van Nuys Blvd.,+1 818-988-2123,
https://www.facebook.com/doctorkaliko/,Kaliko Chiropractic,5.0,7,Chiropractor,$$,"6360 Wilshire Blvd., Suite 502",+1 310-652-2099,Open Now
https://www.facebook.com/CoddingtonChiroAcu/,"Amanda Coddington DC, L.Ac",5.0,13,Chiropractor,,"13223 Ventura Blvd, Ste D",+1 818-981-2639,Opens Monday
https://www.facebook.com/lasportschiropractor/,L.A. Sports Chiropractor,5.0,26,Chiropractor,,13115 W Washington Blvd,+1 310-775-2114,Open Now
https://www.facebook.com/deangrillodc/,"Dean Grillo, DC",5.0,16,Chiropractor,,12153 Ventura Blvd Ste 104,+1 818-515-4496,
https://www.facebook.com/LiveWellLA/,Live Well Chiropractic and Pilates Center,4.8,9,Chiropractor,$$$,5553 W Pico Blvd,+1 323-930-9355,Closes in 10 minutes
https://www.facebook.com/drgaby/,Dr. Gaby Edery,5.0,12,Chiropractor,,7439 Reseda Blvd & 22311 Ventura Blvd,+1 818-651-3252,Opens Sunday
