Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/pages/Broadway-Orthotic-Shoe-Company/133105583380759,Broadway Orthotic & Shoe Company,,,Shoe Store,,"561 Broadway, Winnipeg, Manitoba",(204) 775-3668,Opens Monday
https://www.facebook.com/dralisonbremner/,The Specific Chiropractic Center - Boulder,4.9,35,Chiropractor,$$$,"2305 Canyon Blvd, Ste 102",+1 303-442-5911,Opens tomorrow
https://www.facebook.com/TheJointArvadaNorth/,The Joint Chiropractic,4.8,13,Chiropractor,$$,"7957 Wadsworth Blvd, Arvada, Colorado",+1 303-467-7749,Opens tomorrow
https://www.facebook.com/VBLOSCABOS/,Vital-Balance,4.6,9,Chiropractor,$$,"Carretera Transpeninsular Kilómetro 24.5, Cerro Colorado, Los Cabos Municipality",+52 624 172 6448,Opens tomorrow
https://www.facebook.com/thebackdocs/,Chiropractic Plus,4.2,37,Chiropractor,,"550 Thornton Pkwy, Unit 178",+1 303-254-8430,Opens tomorrow
https://www.facebook.com/ClaneChiropractic/,Clane Chiropractic,5.0,14,Chiropractor,,"Main Street, Clane",+353 45 838 691,Opens at 9:00am
https://www.facebook.com/FruitaChiropracticAndMassage/,Fruita Chiropractic and Massage,5.0,40,Chiropractor,$,"122 E Aspen Ave, Unit A, Fruita, Colorado",+1 970-639-9730,Opens Monday
https://www.facebook.com/BackTalkSystems/,"Back Talk Systems, Inc.",5.0,14,Chiropractor,,"231 Violet St, Ste 140, Golden, Colorado",+1 800-937-3113,Opens Monday
https://www.facebook.com/spinegeek/,Spine Geek,4.9,31,Chiropractor,,"10673 Melody Dr, Northglenn, Colorado",+1 303-457-8080,Opens tomorrow
https://www.facebook.com/DayChiropracticAndRehab/,Day Chiropractic & Rehab,5.0,37,Chiropractor,,"8170 S. University Blvd, # 220, Centennial, Colorado",+1 720-579-8620,Opens Tuesday
https://www.facebook.com/purechiroadjustments/,Pure Chiropractic 720-573-3157,5.0,19,Chiropractor,,8996 W Bowles Ave,+1 720-573-3157,
https://www.facebook.com/DenverUpperCervicalChiropractic/,Denver Upper Cervical Chiropractic,5.0,27,Chiropractor,,"400 S Colorado Blvd, Suite 430",+1 303-955-8270,Opens Monday
https://www.facebook.com/backinaflashchiropracticandmassage/,Back in a Flash Chiropractic & Massage,5.0,59,Chiropractor,$,1940 Pennsylvania St,+1 720-459-8934,Opens tomorrow
https://www.facebook.com/drgwolfe/,Wolfe Chiropractic & Functional Medicine 303-447-2225,5.0,36,Chiropractor,,933 Alpine Ave.,+1 303-447-2225,Opens Monday
https://www.facebook.com/LoTurcoChiropracticGroup/,LoTurco Chiropractic Group,5.0,21,Chiropractor,,255 Union Blvd. Suite 330,+1 720-476-5121,Opens tomorrow
https://www.facebook.com/AmplifyChiro/,Amplify Chiropractic,5.0,48,Chiropractor,,8601 W Cross Dr.,+1 720-583-4686,Opens Monday
https://www.facebook.com/naturallychiro/,Naturally Chiropractic P.C.,5.0,35,Chiropractor,,"10233 S Parker Rd, Ste 300",+1 303-841-7091,Opens Monday
https://www.facebook.com/thrivefortcollins/,Thrive Chiropractic,5.0,21,Chiropractor,,2721 S College Ave,+1 970-988-6756,Opens tomorrow
https://www.facebook.com/www.trueformchiropractic/,True Form Chiropractic,5.0,22,Chiropractor,,"3955 E Exposition Avenue, Suite 206",+1 866-308-9749,Opens Monday
https://www.facebook.com/CTChiropracticAurora/,CT Chiropractic Wellness Center,5.0,27,Chiropractor,,"6040 S Gun Club Rd, Units G1",+1 303-690-8471,Opens Monday
https://www.facebook.com/TheProfitablePracticeCreator/,The Profitable Practice Creator,,,Chiropractor,,,+1 949-305-2072,
https://www.facebook.com/BelmarChiro/,Belmar Chiropractic - 303.233.1236,5.0,28,Chiropractor,$$,"1057 S Wadsworth Blvd, Ste 40",+1 303-233-1236,Opens Monday
https://www.facebook.com/RevolutionCHIROS/,"Revolution Chiropractic, Inc.",5.0,34,Chiropractor,$$$,8410 Wadsworth Blvd Unit A,+1 303-284-9875,Opens Monday
https://www.facebook.com/gatewayfamilychiro/,Gateway Family Chiropractic,5.0,30,Chiropractor,$$,290 E. 25th Street,+1 970-669-7620,Opens tomorrow
https://www.facebook.com/brightenyourfamily/,Bright Light Chiropractic,5.0,15,Chiropractor,,2670 E County Line Rd Suite K,+1 720-583-4506,
