Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/verticalchiroredding/,Vertical Chiropractic,5.0,53,Chiropractor,,940 Hilltop Dr. Suite D,+1 530-221-1228,Opens Monday
https://www.facebook.com/shastaspine/,Shasta Spine Specialists,5.0,24,Chiropractor,,153 Hartnell Ave Suite 300,+1 530-243-2300,Opens Monday
https://www.facebook.com/CoshChiropracticCare/,Cosh Chiropractic Care,5.0,45,Chiropractor,,2007 Pine St,+1 530-244-1185,Opens Monday
https://www.facebook.com/Chiropractic-First-167155406568/,Chiropractic First,5.0,31,Chiropractor,,1435 Market St,+1 530-243-0889,Opens Monday
https://www.facebook.com/Riverview-Chiropractic-343055024823/,Riverview Chiropractic,5.0,32,Chiropractor,$$,2515 Park Marina Dr Suite 101,+1 530-243-9463,Opens Monday
https://www.facebook.com/PikeFamilyChiropractic/,Pike Family Chiropractic,4.6,25,Chiropractor,,3001 Bechelli Lane,+1 530-222-1777,Opens Monday
https://www.facebook.com/healthwisedoc/,Healthwise Chiropractic,5.0,24,Chiropractor,,"405 South St, Ste D",+1 530-244-9000,Opens Monday
https://www.facebook.com/Reiner-Chiropractic-169868856409280/,Reiner Chiropractic,4.9,15,Chiropractor,,"2851 Marina Dr, Ste 100",+1 530-245-0402,Opens tomorrow
https://www.facebook.com/The-Chiropractic-Place-135314263234799/,The Chiropractic Place,5.0,19,Chiropractor,$$,923 Dana Dr,+1 530-221-8443,Opens Monday
https://www.facebook.com/MooreChiropracticRedding/,Moore Chiropractic,5.0,9,Chiropractor,,1825 Hartnell Ave,+1 530-221-4200,Opens in 25 minutes
https://www.facebook.com/rhino1010redding/,RHINO 10/10,5.0,3,Chiropractor,,1435 Market St,+1 530-243-0889,
https://www.facebook.com/Churn-Creek-Chiropractic-128218403896265/,Churn Creek Chiropractic,5.0,3,Chiropractor,,3749 Churn Creek Rd,+1 530-221-4991,Opens Monday
https://www.facebook.com/DrJoshuaLeachDc/,Dr. Joshua Leach DC,5.0,26,Chiropractor,,2007 Pine St,+1 530-321-3302,Opens Monday
https://www.facebook.com/livolsidc/,"Cypress Chiropractic Performance and Wellness Philip LiVolsi, BS,DC",5.0,10,Chiropractor,$,"926 E Cypress Ave, # 700",+1 530-221-0253,
https://www.facebook.com/peerychiro/,Peery Family Chiropractic,5.0,13,Chiropractor,,1465 Victor Ave,+1 530-605-3701,Opens Monday
https://www.facebook.com/DrAaronGleeson/,Dr. Aaron Gleeson D.C - Chiropractor,4.6,10,Chiropractor,,"2851 Marina Rd, Ste 100",+1 530-245-0402,Opens Monday
https://www.facebook.com/Redding-Sports-Therapy-Montgomery-Chiropractic-186645874737916/,Redding Sports Therapy & Montgomery Chiropractic,4.9,38,Chiropractor,$$,2335 Athens Ave,+1 530-247-4228,
https://www.facebook.com/drbobbyfano/,Dr. Bobby Fano,5.0,8,Chiropractor,,"940 Hilltop Dr, Suite D",+1 530-221-1228,
https://www.facebook.com/Hult-Family-Chiropractic-133711813441658/,Hult Family Chiropractic,4.6,10,Chiropractor,,1109 Hartnell Ave,+1 530-222-5510,Opens Monday
https://www.facebook.com/WellnessOneofRedding/,WellnessOne of Redding,4.6,34,Chiropractor,,"2515 Park Marina Drive, Suite 101",+1 530-243-9464,Opens Monday
https://www.facebook.com/Trudi-J-Pratt-DC-1066533106789999/,"Trudi J. Pratt, DC",5.0,3,Chiropractor,$$,1308 Court St,+1 530-244-7873,Opens Monday
https://www.facebook.com/doctorosborne/,New Life Chiropractic,5.0,3,Chiropractor,,"987 Mission De Oro Dr, SteG",+1 530-592-5500,
https://www.facebook.com/Adrianamekhaeldc/,"Dr. Adriana Mekhael, DC",5.0,9,Chiropractor,,2007 Pine St,+1 530-244-1185,
https://www.facebook.com/Sandrahalldc/,"Sandra Hall, DC",5.0,5,Chiropractor,,1825 Hartnell Ave,+1 530-221-4200,Opens Monday
https://www.facebook.com/Brian-Crume-DC-DBA-Continental-St-Chiropractic-135623246510511/,"Brian Crume, D.C.,   DBA Continental St. Chiropractic",4.8,11,Chiropractor,,1756 Continental St,+1 530-244-4772,Opens tomorrow
https://www.facebook.com/PeakChiropracticRedding/,Peak Chiropractic,4.8,6,Chiropractor,$$$,"1936 Shasta St, Ste B",+1 530-241-9109,Opens Monday
https://www.facebook.com/peckchirocare/,Peck Chiropractic Care,5.0,6,Chiropractor,,2185 Churn Creek Rd,+1 530-222-0350,Opens Monday
https://www.facebook.com/michaelhanleydc/,Michael Hanley DC,5.0,2,Chiropractor,,2021 Victor Ave,+1 530-223-0790,Opens Monday
https://www.facebook.com/Hudson-Chiropractic-Inc-182890961749194/,"Hudson Chiropractic, Inc",5.0,2,Chiropractor,,943 Parkview Ave,+1 530-243-3118,Open Now
https://www.facebook.com/Greve-Chiropractic-117707528284519/,Greve Chiropractic,5.0,5,Chiropractor,$$$,666 Azalea Ave,+1 530-243-0381,Opens Monday
https://www.facebook.com/shastaspinecenter/,Shasta Spine Center,5.0,4,Chiropractor,$,1115 Eureka Way,+1 530-241-2798,Opens Monday
https://www.facebook.com/FamilyChiropracticRedding/,Family Chiropractic,5.0,1,Chiropractor,,1230 Churn Creek Suite 400,+1 530-244-1088,Opens tomorrow
https://www.facebook.com/ReddingThermographycomDrMichelleHodgeDc/,"Reddingthermography.com  Michelle Hodge, DC",4.8,6,Chiropractor,,"2536 Old Eureka Way, Redding, CA 96001",+1 530-945-0878,Opens Monday
https://www.facebook.com/pages/Va-Clinic/125706977501651,Va Clinic,4.6,5,Chiropractor,,351 Hartnell Ave,+1 530-226-7555,Always Open
https://www.facebook.com/Chiropractic-Advantage-105684399521146/,Chiropractic Advantage,,,Chiropractor,$$,"2620 Larkspur Ln, Ste V",+1 530-222-3727,Opens Monday
https://www.facebook.com/BacktoLifeRestorationCenter/,Back to Life Restoration Center,5.0,3,Chiropractor,$$,983 Mission de Oro Dr,+1 530-276-8495,Opens Monday
https://www.facebook.com/Active-Release-Techniques-Redding-1390964007830088/,Active Release Techniques Redding,,,Chiropractor,$$$,2851 Park Marina Dr Suite 100,+1 530-245-0402,Opens Monday
https://www.facebook.com/Kleefeld-Chiropractic-387543981394379/,Kleefeld Chiropractic,,,Chiropractor,,2779 Bechelli Ln,+1 530-722-9010,Opens Monday
https://www.facebook.com/Redding-Auto-Accident-Injury-Chiropractic-Clinic-388526994848120/,Redding Auto Accident Injury Chiropractic Clinic,,,Chiropractor,,153 Hartnell Ave. Suite 300,+1 530-338-3883,Opens Monday
https://www.facebook.com/pages/Pratt-Trudi-DC-Ctn/142615952450616,Pratt Trudi DC Ctn,5.0,2,Chiropractor,,1308 Court St,+1 530-244-7873,
https://www.facebook.com/pages/Amber-Health-Care-for-Women/159349724119958,Amber Health Care for Women,5.0,1,Chiropractor,,1842 Buenaventura Blvd,+1 530-225-8500,Always Open
https://www.facebook.com/Shrout-Chiropractic-648102701911286/,Shrout Chiropractic,,,Chiropractor,,455 South St,+1 530-241-2149,
https://www.facebook.com/pages/Family-Chiropractic/147176385326785,Family Chiropractic,5.0,1,Chiropractor,,2636  Churn Creek Rd,+1 530-244-1088,
https://www.facebook.com/Ferrer-Chiropractic-596149647123065/,Ferrer Chiropractic,,,Chiropractor,,664 Azalea Ave,+1 530-215-8899,Opens Monday
https://www.facebook.com/pages/Lollar-Chiropractic/184060008283278,Lollar Chiropractic,,,Chiropractor,,1465  Victor Ave,+1 530-722-9012,
https://www.facebook.com/pages/Dr-Rob-Smith-Peak-Chiropractic/1585712854982907,Dr Rob Smith Peak Chiropractic,,,Chiropractor,,"1936 Shasta St, Ste B",+1 530-241-9109,
