Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/TheJointArcadia/,The Joint Chiropractic,4.3,7,Chiropractor,$$,"4325 E. Indian School Road, #115",+1 602-955-0001,Opens tomorrow
https://www.facebook.com/TheWellnessCenterSpineinmotion/,The Wellness Center                Spine In Motion,5.0,2,Chiropractor,,"5112 N 40th St, Ste 101",+1 602-264-4040,Opens Monday
https://www.facebook.com/kerchchiropractic/,Kerch Chiropractic,5.0,15,Chiropractor,,"10221 N 32nd St, Ste L",+1 602-953-1144,Opens Monday
https://www.facebook.com/HansenChiroPhoenix/,Hansen Chiropractic-Phoenix,4.9,19,Chiropractor,,3220 E Baseline Rd,+1 602-437-2225,Opens Monday
https://www.facebook.com/b2lchiropractic/,Back To Life Chiropractic,5.0,5,Chiropractor,,"4045 E Bell Rd, Ste 107",+1 480-703-1834,Opens Monday
https://www.facebook.com/ToyosChiro/,Toyos Chiropractic and Wellness Center,5.0,13,Chiropractor,,"4515 N 32nd St, Ste 110",+1 602-955-3456,Opens tomorrow
https://www.facebook.com/SCP-Chiropractic-158618627506339/,SCP Chiropractic,4.9,18,Chiropractor,,4767 N 20th St,+1 602-631-4500,Opens Monday
https://www.facebook.com/pages/West-Valley-LDC-Postal-facility/415952808422024,West Valley L&DC (Postal facility),3.3,12,Post Office,,"620 N 47th Ave, Phoenix, Arizona",,
https://www.facebook.com/drmaryyiassemides/,Dr. Maria Yiassemides P.A.,5.0,3,Chiropractor,,"3421 Sweet Air Rd, Ste 5, Phoenix, Maryland",+1 410-628-0010,Opens Monday
https://www.facebook.com/ChiropracticDelSol/,Chiropractic Del Sol,5.0,16,Chiropractor,,1619 E McDowell Rd,+1 602-334-1064,Opens Monday
https://www.facebook.com/Arizona-Life-Chiropractic-Center-248582354154/,Arizona Life Chiropractic Center,5.0,28,Chiropractor,,4150 W Peoria Ave Suite 134,+1 602-242-7537,Opens Monday
https://www.facebook.com/imaginewellnesschiro/,Imagine Wellness Chiropractic Center,5.0,31,Chiropractor,,822 East Union Hills Drive #22,+1 623-582-8951,Opens Monday
https://www.facebook.com/ChiroDrKevinRoach/,AZ Chiropractic PV,5.0,25,Chiropractor,$$,"4575 E Cactus Rd, # 130",+1 602-482-0994,Opens tomorrow
https://www.facebook.com/Arizona-Biomechanics-701409376632009/,Arizona Biomechanics,5.0,16,Chiropractor,,8725 S. Kyrene Rd. Suite 104,+1 480-440-2532,Opens tomorrow
https://www.facebook.com/darrellkilcupdc/,"Dr. Kilcup, Functional Medicine Consulting Nationwide Via Internet & Phone",4.9,16,Chiropractor,,7016 N 27th Ave,+1 602-864-0304,
https://www.facebook.com/MyFamilyChiropractor/,My Family Chiropractor,4.8,26,Chiropractor,$$,"2320 W Peoria Ave, Ste B140",+1 602-789-7777,Opens Monday
https://www.facebook.com/TriCoreChiropractic/,Tri-Core Chiropractic,5.0,13,Chiropractor,,"5110 E Warner Rd, Ste 201",+1 480-652-1234,Opens Monday
https://www.facebook.com/phxhealth/,Phoenician Health Group,4.8,15,Chiropractor,,3244 E Indian School Rd,+1 602-955-9170,Opens Monday
