Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/prospinechiropracticsd/,ProSpine Chiropractic South Dakota,5.0,17,Chiropractor,,"1727 W. Main St., Rapid City, South Dakota",+1 605-716-7711,Opens Monday
https://www.facebook.com/doctordanchiro/,New Hope Chiropractic,5.0,7,Chiropractor,,"309 S West Ave, Ste 1",+1 605-543-5700,Opens tomorrow
https://www.facebook.com/Severtson-Spinal-Care-Dell-Rapids-Chiropractor-369978369772931/,Severtson Spinal Care - Dell Rapids Chiropractor,5.0,14,Chiropractor,,"513 W 4th St, Dell Rapids, South Dakota",+1 605-428-4778,
https://www.facebook.com/odlandchiropractic/,"Odland Chiropractic Clinic, P.C.",5.0,25,Chiropractor,,"3600 S Marion Rd, Ste 101, Sioux Falls, South Dakota",+1 605-361-2500,Opens Monday
https://www.facebook.com/ActiveSpineParker6052698889/,Active Spine Parker,5.0,1,Chiropractor,,"170 N Main Ave, Parker, South Dakota",+1 605-269-8889,Opens tomorrow
https://www.facebook.com/SeaChiropractic/,Sea Chiropractic,5.0,20,Chiropractor,,"2523 S Shirley Ave, Sioux Falls, South Dakota",+1 605-361-6706,Opens tomorrow
https://www.facebook.com/chiropractorsatfourhills/,The Chiropractors at Four Hills,4.9,14,Chiropractor,,3630 S Southeastern Ave,+1 605-271-5550,Opens tomorrow
https://www.facebook.com/Dynamicspinechiropractic/,Dynamic Spine Chiropractic Health Center - Sioux Falls,5.0,26,Chiropractor,,"5023 S. Bur Oak Pl, Sioux Falls, South Dakota",+1 605-275-4494,Opens Monday
https://www.facebook.com/Parkston-Chiropractic-Clinic-Prof-LLC-115918325101729/,"Parkston Chiropractic Clinic, Prof. LLC",4.9,9,Chiropractor,,"103 W Glynn Dr, Parkston, South Dakota",+1 605-928-7777,Opens Monday
https://www.facebook.com/Back-In-Motion-Chiropractic-417783818233176/,Back In Motion Chiropractic,5.0,9,Chiropractor,,1453 6th St,+1 605-692-2225,Opens Monday
https://www.facebook.com/nelsonchiropc/,"Nelson Chiropractic, PC",5.0,22,Chiropractor,,5734 Sheridan Lake Road Suit 201,+1 605-791-5522,Opens tomorrow
https://www.facebook.com/Whitewood-Creek-Chiropractic-813824328743080/,Whitewood Creek Chiropractic,5.0,24,Chiropractor,,1001 Meade St,+1 605-717-2428,Opens Tuesday
https://www.facebook.com/rapidcitysd57701chiropractor/,HealthSource of Rapid City Central,4.8,24,Chiropractor,,325 Omaha Street Suite 5,+1 605-857-8050,Opens Monday
https://www.facebook.com/chirosportsd/,Chirosport,4.9,44,Chiropractor,,6705 S Cliff Ave,+1 605-334-6656,Opens tomorrow
https://www.facebook.com/leadingedgecare/,"Leading Edge Chiropractic & Acupuncture, P.C.",4.9,72,Chiropractor,,"2520 E River Ridge Pl, Ste 201",+1 605-275-2100,Opens Monday
https://www.facebook.com/605chiropractic/,605 Chiropractic & Wellness,5.0,7,Chiropractor,,3822 S Western Ave,+1 605-271-2261,Opens Monday
https://www.facebook.com/Parham-Chiropractic-PC-133830593295101/,Parham Chiropractic P.C.,5.0,28,Chiropractor,,"2500 W 46th St, Ste 100",+1 605-335-3008,Opens Monday
https://www.facebook.com/KruseChiropracticDakotaDunes/,"Kruse Chiropractic, PC",5.0,18,Chiropractor,,"330 Dakota Dunes Blvd, Ste 300",+1 605-217-2100,Opens Monday
https://www.facebook.com/healthsourceofsiouxfallssouth/,HealthSource of Sioux Falls South,4.7,38,Chiropractor,,1205 E. 57th St.,+1 605-357-8093,Opens Monday
https://www.facebook.com/pruntychiro/,Prunty Chiropractic,4.8,19,Chiropractor,,"420 W Sioux Ave, Ste 1",+1 605-224-9902,Opens Monday
https://www.facebook.com/AspireChriopractic/,Aspire Chiropractic,5.0,7,Chiropractor,,"1905 W 57th St., Ste.103",+1 605-371-3533,Opens Monday
https://www.facebook.com/kleinjanchiropractic/,Kleinjan Chiropractic,5.0,20,Chiropractor,,1204 Main Ave S,+1 605-692-4325,Opens Monday
https://www.facebook.com/allaboutpotentialfamilychiropractic/,All About Potential Family Chiropractic,4.8,55,Chiropractor,$,311 N 27th St,+1 605-644-9074,Opens Monday
https://www.facebook.com/BrandonChiropracticHealthCenter/,Brandon Chiropractic Health Center,4.9,18,Chiropractor,,1302 Rushmore Dr,+1 605-582-6546,Open Now
https://www.facebook.com/pages/Black-Hills-Chiropractic-LLP/167253303286052,Black Hills Chiropractic LLP,5.0,13,Chiropractor,,610 East Blvd,+1 605-342-3908,
